"Notes","Residence State","Residence State Code","UCD - ICD Chapter","UCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"Kansas","20","Mental and behavioural disorders","F01-F99",12886,23431994,55.0
,"Kansas","20","Diseases of the nervous system","G00-G98",18612,23431994,79.4
,"Kansas","20","Diseases of the circulatory system","I00-I99",63959,23431994,273.0
,"Kansas","20","Diseases of the respiratory system","J00-J98",21909,23431994,93.5
,"Kansas","20","Diseases of the digestive system","K00-K92",9550,23431994,40.8
,"Kansas","20","Diseases of the skin and subcutaneous tissue","L00-L98",451,23431994,1.9
,"Kansas","20","Diseases of the musculoskeletal system and connective tissue","M00-M99",1443,23431994,6.2
,"Kansas","20","Diseases of the genitourinary system","N00-N98",6089,23431994,26.0
,"Kansas","20","Pregnancy, childbirth and the puerperium","O00-O99",78,23431994,0.3
,"Kansas","20","Certain conditions originating in the perinatal period","P00-P96",709,23431994,3.0
,"Kansas","20","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",804,23431994,3.4
,"Kansas","20","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2957,23431994,12.6
,"Kansas","20","Codes for special purposes","U00-U99",9928,23431994,42.4
,"Kansas","20","External causes of morbidity and mortality","V01-Y89",18714,23431994,79.9
,"Kansas","20","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",960,23431994,4.1
,"Kentucky","21","Certain infectious and parasitic diseases","A00-B99",10731,36013492,29.8
,"Kentucky","21","Neoplasms","C00-D48",81159,36013492,225.4
,"Kentucky","21","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1642,36013492,4.6
,"Kentucky","21","Endocrine, nutritional and metabolic diseases","E00-E88",20914,36013492,58.1
,"Kentucky","21","Mental and behavioural disorders","F01-F99",22889,36013492,63.6
,"Kentucky","21","Diseases of the nervous system","G00-G98",27484,36013492,76.3
,"Kentucky","21","Diseases of the eye and adnexa","H00-H57",12,36013492,Unreliable
,"Kentucky","21","Diseases of the ear and mastoid process","H60-H93",10,36013492,Unreliable
,"Kentucky","21","Diseases of the circulatory system","I00-I99",111117,36013492,308.5
,"Kentucky","21","Diseases of the respiratory system","J00-J98",42233,36013492,117.3
,"Kentucky","21","Diseases of the digestive system","K00-K92",17200,36013492,47.8
,"Kentucky","21","Diseases of the skin and subcutaneous tissue","L00-L98",724,36013492,2.0
,"Kentucky","21","Diseases of the musculoskeletal system and connective tissue","M00-M99",1872,36013492,5.2
,"Kentucky","21","Diseases of the genitourinary system","N00-N98",11896,36013492,33.0
,"Kentucky","21","Pregnancy, childbirth and the puerperium","O00-O99",165,36013492,0.5
,"Kentucky","21","Certain conditions originating in the perinatal period","P00-P96",960,36013492,2.7
,"Kentucky","21","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1239,36013492,3.4
,"Kentucky","21","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",5346,36013492,14.8
,"Kentucky","21","Codes for special purposes","U00-U99",17616,36013492,48.9
,"Kentucky","21","External causes of morbidity and mortality","V01-Y89",36241,36013492,100.6
,"Kentucky","21","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1646,36013492,4.6
,"Louisiana","22","Certain infectious and parasitic diseases","A00-B99",11415,36889625,30.9
,"Louisiana","22","Neoplasms","C00-D48",73020,36889625,197.9
,"Louisiana","22","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1296,36889625,3.5
,"Louisiana","22","Endocrine, nutritional and metabolic diseases","E00-E88",20677,36889625,56.1
,"Louisiana","22","Mental and behavioural disorders","F01-F99",10181,36889625,27.6
,"Louisiana","22","Diseases of the nervous system","G00-G98",33183,36889625,90.0
,"Louisiana","22","Diseases of the circulatory system","I00-I99",118176,36889625,320.4
,"Louisiana","22","Diseases of the respiratory system","J00-J98",31904,36889625,86.5
,"Louisiana","22","Diseases of the digestive system","K00-K92",12452,36889625,33.8
,"Louisiana","22","Diseases of the skin and subcutaneous tissue","L00-L98",740,36889625,2.0
,"Louisiana","22","Diseases of the musculoskeletal system and connective tissue","M00-M99",2290,36889625,6.2
,"Louisiana","22","Diseases of the genitourinary system","N00-N98",11056,36889625,30.0
,"Louisiana","22","Pregnancy, childbirth and the puerperium","O00-O99",204,36889625,0.6
,"Louisiana","22","Certain conditions originating in the perinatal period","P00-P96",1432,36889625,3.9
,"Louisiana","22","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1149,36889625,3.1
,"Louisiana","22","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",4743,36889625,12.9
,"Louisiana","22","Codes for special purposes","U00-U99",16299,36889625,44.2
,"Louisiana","22","External causes of morbidity and mortality","V01-Y89",38291,36889625,103.8
,"Louisiana","22","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1538,36889625,4.2
,"Maine","23","Certain infectious and parasitic diseases","A00-B99",1402,10977510,12.8
,"Maine","23","Neoplasms","C00-D48",27142,10977510,247.3
,"Maine","23","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",427,10977510,3.9
,"Maine","23","Endocrine, nutritional and metabolic diseases","E00-E88",6827,10977510,62.2
,"Maine","23","Mental and behavioural disorders","F01-F99",10819,10977510,98.6
,"Maine","23","Diseases of the nervous system","G00-G98",8749,10977510,79.7
,"Maine","23","Diseases of the circulatory system","I00-I99",33143,10977510,301.9
,"Maine","23","Diseases of the respiratory system","J00-J98",11477,10977510,104.6
,"Maine","23","Diseases of the digestive system","K00-K92",5609,10977510,51.1
,"Maine","23","Diseases of the skin and subcutaneous tissue","L00-L98",247,10977510,2.3
,"Maine","23","Diseases of the musculoskeletal system and connective tissue","M00-M99",740,10977510,6.7
,"Maine","23","Diseases of the genitourinary system","N00-N98",2769,10977510,25.2
,"Maine","23","Pregnancy, childbirth and the puerperium","O00-O99",17,10977510,Unreliable
,"Maine","23","Certain conditions originating in the perinatal period","P00-P96",255,10977510,2.3
,"Maine","23","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",394,10977510,3.6
,"Maine","23","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",591,10977510,5.4
,"Maine","23","Codes for special purposes","U00-U99",3150,10977510,28.7
,"Maine","23","External causes of morbidity and mortality","V01-Y89",11125,10977510,101.3
,"Maine","23","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",536,10977510,4.9
,"Maryland","24","Certain infectious and parasitic diseases","A00-B99",12053,49014748,24.6
,"Maryland","24","Neoplasms","C00-D48",86028,49014748,175.5
,"Maryland","24","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1954,49014748,4.0
,"Maryland","24","Endocrine, nutritional and metabolic diseases","E00-E88",21533,49014748,43.9
,"Maryland","24","Mental and behavioural disorders","F01-F99",25028,49014748,51.1
,"Maryland","24","Diseases of the nervous system","G00-G98",25923,49014748,52.9
,"Maryland","24","Diseases of the eye and adnexa","H00-H57",13,49014748,Unreliable
,"Maryland","24","Diseases of the circulatory system","I00-I99",126167,49014748,257.4
,"Maryland","24","Diseases of the respiratory system","J00-J98",29638,49014748,60.5
,"Maryland","24","Diseases of the digestive system","K00-K92",15408,49014748,31.4
,"Maryland","24","Diseases of the skin and subcutaneous tissue","L00-L98",1101,49014748,2.2
,"Maryland","24","Diseases of the musculoskeletal system and connective tissue","M00-M99",2712,49014748,5.5
,"Maryland","24","Diseases of the genitourinary system","N00-N98",9102,49014748,18.6
,"Maryland","24","Pregnancy, childbirth and the puerperium","O00-O99",166,49014748,0.3
,"Maryland","24","Certain conditions originating in the perinatal period","P00-P96",1705,49014748,3.5
,"Maryland","24","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1341,49014748,2.7
,"Maryland","24","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1944,49014748,4.0
,"Maryland","24","Codes for special purposes","U00-U99",16047,49014748,32.7
,"Maryland","24","External causes of morbidity and mortality","V01-Y89",40987,49014748,83.6
,"Maryland","24","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1795,49014748,3.7
,"Massachusetts","25","Certain infectious and parasitic diseases","A00-B99",11931,55659120,21.4
,"Massachusetts","25","Neoplasms","C00-D48",98902,55659120,177.7
,"Massachusetts","25","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1836,55659120,3.3
,"Massachusetts","25","Endocrine, nutritional and metabolic diseases","E00-E88",20900,55659120,37.6
,"Massachusetts","25","Mental and behavioural disorders","F01-F99",45518,55659120,81.8
,"Massachusetts","25","Diseases of the nervous system","G00-G98",30291,55659120,54.4
,"Massachusetts","25","Diseases of the eye and adnexa","H00-H57",12,55659120,Unreliable
,"Massachusetts","25","Diseases of the ear and mastoid process","H60-H93",15,55659120,Unreliable
,"Massachusetts","25","Diseases of the circulatory system","I00-I99",119615,55659120,214.9
,"Massachusetts","25","Diseases of the respiratory system","J00-J98",41506,55659120,74.6
,"Massachusetts","25","Diseases of the digestive system","K00-K92",19076,55659120,34.3
,"Massachusetts","25","Diseases of the skin and subcutaneous tissue","L00-L98",922,55659120,1.7
,"Massachusetts","25","Diseases of the musculoskeletal system and connective tissue","M00-M99",2337,55659120,4.2
,"Massachusetts","25","Diseases of the genitourinary system","N00-N98",13800,55659120,24.8
,"Massachusetts","25","Pregnancy, childbirth and the puerperium","O00-O99",104,55659120,0.2
,"Massachusetts","25","Certain conditions originating in the perinatal period","P00-P96",1081,55659120,1.9
,"Massachusetts","25","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1225,55659120,2.2
,"Massachusetts","25","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",8908,55659120,16.0
,"Massachusetts","25","Codes for special purposes","U00-U99",19495,55659120,35.0
,"Massachusetts","25","External causes of morbidity and mortality","V01-Y89",37694,55659120,67.7
,"Massachusetts","25","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",905,55659120,1.6
,"Michigan","26","Certain infectious and parasitic diseases","A00-B99",14934,80146034,18.6
,"Michigan","26","Neoplasms","C00-D48",167617,80146034,209.1
,"Michigan","26","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",3000,80146034,3.7
,"Michigan","26","Endocrine, nutritional and metabolic diseases","E00-E88",41526,80146034,51.8
,"Michigan","26","Mental and behavioural disorders","F01-F99",30651,80146034,38.2
,"Michigan","26","Diseases of the nervous system","G00-G98",64406,80146034,80.4
,"Michigan","26","Diseases of the eye and adnexa","H00-H57",23,80146034,0.0
,"Michigan","26","Diseases of the ear and mastoid process","H60-H93",29,80146034,0.0
,"Michigan","26","Diseases of the circulatory system","I00-I99",266158,80146034,332.1
,"Michigan","26","Diseases of the respiratory system","J00-J98",68719,80146034,85.7
,"Michigan","26","Diseases of the digestive system","K00-K92",30557,80146034,38.1
,"Michigan","26","Diseases of the skin and subcutaneous tissue","L00-L98",1764,80146034,2.2
,"Michigan","26","Diseases of the musculoskeletal system and connective tissue","M00-M99",4116,80146034,5.1
,"Michigan","26","Diseases of the genitourinary system","N00-N98",20433,80146034,25.5
,"Michigan","26","Pregnancy, childbirth and the puerperium","O00-O99",242,80146034,0.3
,"Michigan","26","Certain conditions originating in the perinatal period","P00-P96",2607,80146034,3.3
,"Michigan","26","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",2526,80146034,3.2
,"Michigan","26","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",6005,80146034,7.5
,"Michigan","26","Codes for special purposes","U00-U99",34017,80146034,42.4
,"Michigan","26","External causes of morbidity and mortality","V01-Y89",62462,80146034,77.9
,"Michigan","26","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",2930,80146034,3.7
,"Minnesota","27","Certain infectious and parasitic diseases","A00-B99",6689,45546472,14.7
,"Minnesota","27","Neoplasms","C00-D48",80997,45546472,177.8
,"Minnesota","27","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1618,45546472,3.6
,"Minnesota","27","Endocrine, nutritional and metabolic diseases","E00-E88",17889,45546472,39.3
,"Minnesota","27","Mental and behavioural disorders","F01-F99",25887,45546472,56.8
,"Minnesota","27","Diseases of the nervous system","G00-G98",35217,45546472,77.3
,"Minnesota","27","Diseases of the eye and adnexa","H00-H57",10,45546472,Unreliable
,"Minnesota","27","Diseases of the ear and mastoid process","H60-H93",20,45546472,0.0
,"Minnesota","27","Diseases of the circulatory system","I00-I99",96635,45546472,212.2
,"Minnesota","27","Diseases of the respiratory system","J00-J98",28344,45546472,62.2
,"Minnesota","27","Diseases of the digestive system","K00-K92",16060,45546472,35.3
,"Minnesota","27","Diseases of the skin and subcutaneous tissue","L00-L98",827,45546472,1.8
,"Minnesota","27","Diseases of the musculoskeletal system and connective tissue","M00-M99",2419,45546472,5.3
,"Minnesota","27","Diseases of the genitourinary system","N00-N98",6707,45546472,14.7
,"Minnesota","27","Pregnancy, childbirth and the puerperium","O00-O99",101,45546472,0.2
,"Minnesota","27","Certain conditions originating in the perinatal period","P00-P96",1079,45546472,2.4
,"Minnesota","27","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1728,45546472,3.8
,"Minnesota","27","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",8792,45546472,19.3
,"Minnesota","27","Codes for special purposes","U00-U99",13570,45546472,29.8
,"Minnesota","27","External causes of morbidity and mortality","V01-Y89",33312,45546472,73.1
,"Minnesota","27","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1825,45546472,4.0
,"Mississippi","28","Certain infectious and parasitic diseases","A00-B99",5331,23638557,22.6
,"Mississippi","28","Neoplasms","C00-D48",51549,23638557,218.1
,"Mississippi","28","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1008,23638557,4.3
,"Mississippi","28","Endocrine, nutritional and metabolic diseases","E00-E88",13433,23638557,56.8
,"Mississippi","28","Mental and behavioural disorders","F01-F99",7331,23638557,31.0
,"Mississippi","28","Diseases of the nervous system","G00-G98",22176,23638557,93.8
,"Mississippi","28","Diseases of the circulatory system","I00-I99",87029,23638557,368.2
,"Mississippi","28","Diseases of the respiratory system","J00-J98",28244,23638557,119.5
,"Mississippi","28","Diseases of the digestive system","K00-K92",10723,23638557,45.4
,"Mississippi","28","Diseases of the skin and subcutaneous tissue","L00-L98",788,23638557,3.3
,"Mississippi","28","Diseases of the musculoskeletal system and connective tissue","M00-M99",1012,23638557,4.3
,"Mississippi","28","Diseases of the genitourinary system","N00-N98",8652,23638557,36.6
,"Mississippi","28","Pregnancy, childbirth and the puerperium","O00-O99",148,23638557,0.6
,"Mississippi","28","Certain conditions originating in the perinatal period","P00-P96",1041,23638557,4.4
,"Mississippi","28","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",852,23638557,3.6
,"Mississippi","28","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2733,23638557,11.6
,"Mississippi","28","Codes for special purposes","U00-U99",12930,23638557,54.7
,"Mississippi","28","External causes of morbidity and mortality","V01-Y89",23560,23638557,99.7
,"Mississippi","28","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1222,23638557,5.2
,"Missouri","29","Certain infectious and parasitic diseases","A00-B99",11435,49350040,23.2
,"Missouri","29","Neoplasms","C00-D48",104248,49350040,211.2
,"Missouri","29","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1968,49350040,4.0
,"Missouri","29","Endocrine, nutritional and metabolic diseases","E00-E88",24814,49350040,50.3
,"Missouri","29","Mental and behavioural disorders","F01-F99",20866,49350040,42.3
,"Missouri","29","Diseases of the nervous system","G00-G98",42834,49350040,86.8
,"Missouri","29","Diseases of the ear and mastoid process","H60-H93",17,49350040,Unreliable
,"Missouri","29","Diseases of the circulatory system","I00-I99",152488,49350040,309.0
,"Missouri","29","Diseases of the respiratory system","J00-J98",51424,49350040,104.2
,"Missouri","29","Diseases of the digestive system","K00-K92",19328,49350040,39.2
,"Missouri","29","Diseases of the skin and subcutaneous tissue","L00-L98",963,49350040,2.0
,"Missouri","29","Diseases of the musculoskeletal system and connective tissue","M00-M99",2617,49350040,5.3
,"Missouri","29","Diseases of the genitourinary system","N00-N98",15926,49350040,32.3
,"Missouri","29","Pregnancy, childbirth and the puerperium","O00-O99",210,49350040,0.4
,"Missouri","29","Certain conditions originating in the perinatal period","P00-P96",1444,49350040,2.9
,"Missouri","29","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1499,49350040,3.0
,"Missouri","29","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",3671,49350040,7.4
,"Missouri","29","Codes for special purposes","U00-U99",21181,49350040,42.9
,"Missouri","29","External causes of morbidity and mortality","V01-Y89",46671,49350040,94.6
,"Missouri","29","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",2125,49350040,4.3
,"Montana","30","Certain infectious and parasitic diseases","A00-B99",1464,8837234,16.6
,"Montana","30","Neoplasms","C00-D48",17221,8837234,194.9
,"Montana","30","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",327,8837234,3.7
,"Montana","30","Endocrine, nutritional and metabolic diseases","E00-E88",4655,8837234,52.7
,"Montana","30","Mental and behavioural disorders","F01-F99",5612,8837234,63.5
,"Montana","30","Diseases of the nervous system","G00-G98",5935,8837234,67.2
,"Montana","30","Diseases of the circulatory system","I00-I99",23840,8837234,269.8
,"Montana","30","Diseases of the respiratory system","J00-J98",8077,8837234,91.4
,"Montana","30","Diseases of the digestive system","K00-K92",4225,8837234,47.8
,"Montana","30","Diseases of the skin and subcutaneous tissue","L00-L98",214,8837234,2.4
,"Montana","30","Diseases of the musculoskeletal system and connective tissue","M00-M99",662,8837234,7.5
,"Montana","30","Diseases of the genitourinary system","N00-N98",1753,8837234,19.8
,"Montana","30","Pregnancy, childbirth and the puerperium","O00-O99",35,8837234,0.4
,"Montana","30","Certain conditions originating in the perinatal period","P00-P96",191,8837234,2.2
,"Montana","30","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",266,8837234,3.0
,"Montana","30","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",645,8837234,7.3
,"Montana","30","Codes for special purposes","U00-U99",3546,8837234,40.1
,"Montana","30","External causes of morbidity and mortality","V01-Y89",8227,8837234,93.1
,"Montana","30","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",518,8837234,5.9
,"Nebraska","31","Certain infectious and parasitic diseases","A00-B99",2886,15667980,18.4
,"Nebraska","31","Neoplasms","C00-D48",28130,15667980,179.5
,"Nebraska","31","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",540,15667980,3.4
,"Nebraska","31","Endocrine, nutritional and metabolic diseases","E00-E88",7822,15667980,49.9
,"Nebraska","31","Mental and behavioural disorders","F01-F99",7687,15667980,49.1
,"Nebraska","31","Diseases of the nervous system","G00-G98",12578,15667980,80.3
,"Nebraska","31","Diseases of the circulatory system","I00-I99",38770,15667980,247.4
,"Nebraska","31","Diseases of the respiratory system","J00-J98",13602,15667980,86.8
,"Nebraska","31","Diseases of the digestive system","K00-K92",5983,15667980,38.2
,"Nebraska","31","Diseases of the skin and subcutaneous tissue","L00-L98",327,15667980,2.1
,"Nebraska","31","Diseases of the musculoskeletal system and connective tissue","M00-M99",820,15667980,5.2
,"Nebraska","31","Diseases of the genitourinary system","N00-N98",3162,15667980,20.2
,"Nebraska","31","Pregnancy, childbirth and the puerperium","O00-O99",50,15667980,0.3
,"Nebraska","31","Certain conditions originating in the perinatal period","P00-P96",484,15667980,3.1
,"Nebraska","31","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",539,15667980,3.4
,"Nebraska","31","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1738,15667980,11.1
,"Nebraska","31","Codes for special purposes","U00-U99",5038,15667980,32.2
,"Nebraska","31","External causes of morbidity and mortality","V01-Y89",9358,15667980,59.7
,"Nebraska","31","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",508,15667980,3.2
,"Nevada","32","Certain infectious and parasitic diseases","A00-B99",3715,25157098,14.8
,"Nevada","32","Neoplasms","C00-D48",43159,25157098,171.6
,"Nevada","32","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",585,25157098,2.3
,"Nevada","32","Endocrine, nutritional and metabolic diseases","E00-E88",11775,25157098,46.8
,"Nevada","32","Mental and behavioural disorders","F01-F99",7051,25157098,28.0
,"Nevada","32","Diseases of the nervous system","G00-G98",15912,25157098,63.3
,"Nevada","32","Diseases of the circulatory system","I00-I99",69685,25157098,277.0
,"Nevada","32","Diseases of the respiratory system","J00-J98",19446,25157098,77.3
,"Nevada","32","Diseases of the digestive system","K00-K92",9418,25157098,37.4
,"Nevada","32","Diseases of the skin and subcutaneous tissue","L00-L98",335,25157098,1.3
,"Nevada","32","Diseases of the musculoskeletal system and connective tissue","M00-M99",1070,25157098,4.3
,"Nevada","32","Diseases of the genitourinary system","N00-N98",3749,25157098,14.9
,"Nevada","32","Pregnancy, childbirth and the puerperium","O00-O99",64,25157098,0.3
,"Nevada","32","Certain conditions originating in the perinatal period","P00-P96",606,25157098,2.4
,"Nevada","32","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",608,25157098,2.4
,"Nevada","32","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2840,25157098,11.3
,"Nevada","32","Codes for special purposes","U00-U99",11313,25157098,45.0
,"Nevada","32","External causes of morbidity and mortality","V01-Y89",21419,25157098,85.1
,"Nevada","32","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1147,25157098,4.6
,"New Hampshire","33","Certain infectious and parasitic diseases","A00-B99",1933,11072829,17.5
,"New Hampshire","33","Neoplasms","C00-D48",22638,11072829,204.4
,"New Hampshire","33","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",407,11072829,3.7
,"New Hampshire","33","Endocrine, nutritional and metabolic diseases","E00-E88",5291,11072829,47.8
,"New Hampshire","33","Mental and behavioural disorders","F01-F99",7898,11072829,71.3
,"New Hampshire","33","Diseases of the nervous system","G00-G98",8094,11072829,73.1
,"New Hampshire","33","Diseases of the circulatory system","I00-I99",28607,11072829,258.4
,"New Hampshire","33","Diseases of the respiratory system","J00-J98",9575,11072829,86.5
,"New Hampshire","33","Diseases of the digestive system","K00-K92",4504,11072829,40.7
,"New Hampshire","33","Diseases of the skin and subcutaneous tissue","L00-L98",188,11072829,1.7
,"New Hampshire","33","Diseases of the musculoskeletal system and connective tissue","M00-M99",547,11072829,4.9
,"New Hampshire","33","Diseases of the genitourinary system","N00-N98",2280,11072829,20.6
,"New Hampshire","33","Pregnancy, childbirth and the puerperium","O00-O99",20,11072829,0.2
,"New Hampshire","33","Certain conditions originating in the perinatal period","P00-P96",181,11072829,1.6
,"New Hampshire","33","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",257,11072829,2.3
,"New Hampshire","33","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1275,11072829,11.5
,"New Hampshire","33","Codes for special purposes","U00-U99",2979,11072829,26.9
,"New Hampshire","33","External causes of morbidity and mortality","V01-Y89",8973,11072829,81.0
,"New Hampshire","33","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",482,11072829,4.4
,"New Jersey","34","Certain infectious and parasitic diseases","A00-B99",20858,73074433,28.5
,"New Jersey","34","Neoplasms","C00-D48",122906,73074433,168.2
,"New Jersey","34","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",2812,73074433,3.8
,"New Jersey","34","Endocrine, nutritional and metabolic diseases","E00-E88",28459,73074433,38.9
,"New Jersey","34","Mental and behavioural disorders","F01-F99",28489,73074433,39.0
,"New Jersey","34","Diseases of the nervous system","G00-G98",43235,73074433,59.2
,"New Jersey","34","Diseases of the eye and adnexa","H00-H57",11,73074433,Unreliable
,"New Jersey","34","Diseases of the ear and mastoid process","H60-H93",17,73074433,Unreliable
,"New Jersey","34","Diseases of the circulatory system","I00-I99",183587,73074433,251.2
,"New Jersey","34","Diseases of the respiratory system","J00-J98",51754,73074433,70.8
,"New Jersey","34","Diseases of the digestive system","K00-K92",21572,73074433,29.5
,"New Jersey","34","Diseases of the skin and subcutaneous tissue","L00-L98",1359,73074433,1.9
,"New Jersey","34","Diseases of the musculoskeletal system and connective tissue","M00-M99",2596,73074433,3.6
,"New Jersey","34","Diseases of the genitourinary system","N00-N98",17450,73074433,23.9
,"New Jersey","34","Pregnancy, childbirth and the puerperium","O00-O99",269,73074433,0.4
,"New Jersey","34","Certain conditions originating in the perinatal period","P00-P96",1562,73074433,2.1
,"New Jersey","34","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1414,73074433,1.9
,"New Jersey","34","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",10917,73074433,14.9
,"New Jersey","34","Codes for special purposes","U00-U99",32446,73074433,44.4
,"New Jersey","34","External causes of morbidity and mortality","V01-Y89",42609,73074433,58.3
,"New Jersey","34","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1792,73074433,2.5
,"New Mexico","35","Certain infectious and parasitic diseases","A00-B99",3512,16870910,20.8
,"New Mexico","35","Neoplasms","C00-D48",29434,16870910,174.5
,"New Mexico","35","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",495,16870910,2.9
,"New Mexico","35","Endocrine, nutritional and metabolic diseases","E00-E88",10750,16870910,63.7
,"New Mexico","35","Mental and behavioural disorders","F01-F99",8154,16870910,48.3
,"New Mexico","35","Diseases of the nervous system","G00-G98",11444,16870910,67.8
,"New Mexico","35","Diseases of the circulatory system","I00-I99",43549,16870910,258.1
,"New Mexico","35","Diseases of the respiratory system","J00-J98",14933,16870910,88.5
,"New Mexico","35","Diseases of the digestive system","K00-K92",11040,16870910,65.4
,"New Mexico","35","Diseases of the skin and subcutaneous tissue","L00-L98",389,16870910,2.3
,"New Mexico","35","Diseases of the musculoskeletal system and connective tissue","M00-M99",1124,16870910,6.7
,"New Mexico","35","Diseases of the genitourinary system","N00-N98",3923,16870910,23.3
,"New Mexico","35","Pregnancy, childbirth and the puerperium","O00-O99",62,16870910,0.4
,"New Mexico","35","Certain conditions originating in the perinatal period","P00-P96",414,16870910,2.5
,"New Mexico","35","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",514,16870910,3.0
,"New Mexico","35","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1517,16870910,9.0
,"New Mexico","35","Codes for special purposes","U00-U99",8794,16870910,52.1
,"New Mexico","35","External causes of morbidity and mortality","V01-Y89",20071,16870910,119.0
,"New Mexico","35","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",879,16870910,5.2
,"New York","36","Certain infectious and parasitic diseases","A00-B99",32173,156559258,20.6
,"New York","36","Neoplasms","C00-D48",261493,156559258,167.0
,"New York","36","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",4860,156559258,3.1
,"New York","36","Endocrine, nutritional and metabolic diseases","E00-E88",60825,156559258,38.9
,"New York","36","Mental and behavioural disorders","F01-F99",67111,156559258,42.9
,"New York","36","Diseases of the nervous system","G00-G98",69124,156559258,44.2
,"New York","36","Diseases of the eye and adnexa","H00-H57",29,156559258,0.0
