"Notes","Residence 2013 Urbanization","Residence 2013 Urbanization Code","Year","Year Code","UCD - ICD Chapter","UCD - ICD Chapter Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","Black or African American","2054-5",552,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","White","2106-3",909,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Asian","A",94,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Black or African American","2054-5",471,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","White","2106-3",853,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","More than one race","M",10,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","American Indian or Alaska Native","1002-5",110,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Asian","A",1549,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Black or African American","2054-5",5352,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",74,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","White","2106-3",13661,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","More than one race","M",162,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","American Indian or Alaska Native","1002-5",93,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","Asian","A",1653,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","Black or African American","2054-5",5356,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",89,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","White","2106-3",15411,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","More than one race","M",214,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Female","F","American Indian or Alaska Native","1002-5",39,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Female","F","Asian","A",838,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Female","F","Black or African American","2054-5",2910,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",15,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Female","F","White","2106-3",12893,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Female","F","More than one race","M",77,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Male","M","American Indian or Alaska Native","1002-5",57,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Male","M","Asian","A",543,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Male","M","Black or African American","2054-5",2269,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",14,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Male","M","White","2106-3",9597,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99","Male","M","More than one race","M",78,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Female","F","American Indian or Alaska Native","1002-5",97,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Female","F","Asian","A",2565,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Female","F","Black or African American","2054-5",5571,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",35,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Female","F","White","2106-3",33821,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Female","F","More than one race","M",217,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Male","M","American Indian or Alaska Native","1002-5",75,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Male","M","Asian","A",1708,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Male","M","Black or African American","2054-5",3594,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",43,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Male","M","White","2106-3",22804,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the nervous system","G00-G98","Male","M","More than one race","M",147,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the eye and adnexa","H00-H57","Female","F","White","2106-3",10,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the ear and mastoid process","H60-H93","Male","M","White","2106-3",14,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Female","F","American Indian or Alaska Native","1002-5",340,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Female","F","Asian","A",7093,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Female","F","Black or African American","2054-5",25294,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",249,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Female","F","White","2106-3",78522,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Female","F","More than one race","M",642,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Male","M","American Indian or Alaska Native","1002-5",400,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Male","M","Asian","A",7987,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Male","M","Black or African American","2054-5",27404,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",338,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Male","M","White","2106-3",87019,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99","Male","M","More than one race","M",781,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Female","F","American Indian or Alaska Native","1002-5",107,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Female","F","Asian","A",1337,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Female","F","Black or African American","2054-5",5272,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",32,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Female","F","White","2106-3",22842,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Female","F","More than one race","M",183,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Male","M","American Indian or Alaska Native","1002-5",95,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Male","M","Asian","A",1928,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Male","M","Black or African American","2054-5",5069,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",47,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Male","M","White","2106-3",21560,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98","Male","M","More than one race","M",168,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Female","F","American Indian or Alaska Native","1002-5",133,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Female","F","Asian","A",603,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Female","F","Black or African American","2054-5",2510,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",28,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Female","F","White","2106-3",10643,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Female","F","More than one race","M",115,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Male","M","American Indian or Alaska Native","1002-5",117,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Male","M","Asian","A",788,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Male","M","Black or African American","2054-5",2452,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",34,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Male","M","White","2106-3",12462,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the digestive system","K00-K92","Male","M","More than one race","M",137,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98","Female","F","Asian","A",28,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98","Female","F","Black or African American","2054-5",310,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98","Female","F","White","2106-3",562,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","Asian","A",27,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","Black or African American","2054-5",204,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","White","2106-3",466,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","American Indian or Alaska Native","1002-5",12,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Asian","A",130,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Black or African American","2054-5",628,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",10,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","White","2106-3",1542,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","More than one race","M",16,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Asian","A",85,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Black or African American","2054-5",398,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","White","2106-3",1138,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Female","F","American Indian or Alaska Native","1002-5",35,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Female","F","Asian","A",632,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Female","F","Black or African American","2054-5",2691,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",29,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Female","F","White","2106-3",5944,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Female","F","More than one race","M",53,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Male","M","American Indian or Alaska Native","1002-5",37,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Male","M","Asian","A",668,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Male","M","Black or African American","2054-5",2514,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",32,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Male","M","White","2106-3",6291,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N98","Male","M","More than one race","M",57,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Asian","A",28,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Black or African American","2054-5",133,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Pregnancy, childbirth and the puerperium","O00-O99","Female","F","White","2106-3",130,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Female","F","Asian","A",105,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Female","F","Black or African American","2054-5",495,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Female","F","White","2106-3",738,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Female","F","More than one race","M",60,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Male","M","Asian","A",116,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Male","M","Black or African American","2054-5",644,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Male","M","White","2106-3",835,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96","Male","M","More than one race","M",85,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Asian","A",93,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Black or African American","2054-5",321,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","White","2106-3",848,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","More than one race","M",33,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Asian","A",65,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Black or African American","2054-5",320,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","White","2106-3",943,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","More than one race","M",47,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","American Indian or Alaska Native","1002-5",11,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Asian","A",185,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Black or African American","2054-5",1003,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",10,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","White","2106-3",3157,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","More than one race","M",52,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","American Indian or Alaska Native","1002-5",21,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Asian","A",176,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Black or African American","2054-5",1320,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",10,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","White","2106-3",2992,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","More than one race","M",61,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Female","F","American Indian or Alaska Native","1002-5",12,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Female","F","Asian","A",244,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Female","F","Black or African American","2054-5",566,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",10,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Female","F","White","2106-3",2511,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Female","F","More than one race","M",21,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Male","M","American Indian or Alaska Native","1002-5",11,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Male","M","Asian","A",338,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Male","M","Black or African American","2054-5",522,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Male","M","White","2106-3",2937,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","Codes for special purposes","U00-U99","Male","M","More than one race","M",18,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Female","F","American Indian or Alaska Native","1002-5",214,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Female","F","Asian","A",1080,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Female","F","Black or African American","2054-5",5448,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",41,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Female","F","White","2106-3",15260,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Female","F","More than one race","M",374,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Male","M","American Indian or Alaska Native","1002-5",430,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Male","M","Asian","A",2173,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Male","M","Black or African American","2054-5",16067,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",147,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Male","M","White","2106-3",36127,Not Available,Not Available
,"Large Central Metro","1","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89","Male","M","More than one race","M",865,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Female","F","American Indian or Alaska Native","1002-5",29,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Female","F","Asian","A",336,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Female","F","Black or African American","2054-5",1669,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",15,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Female","F","White","2106-3",3646,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Female","F","More than one race","M",28,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Male","M","American Indian or Alaska Native","1002-5",29,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Male","M","Asian","A",407,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Male","M","Black or African American","2054-5",1938,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",13,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Male","M","White","2106-3",4246,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99","Male","M","More than one race","M",48,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Female","F","American Indian or Alaska Native","1002-5",190,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Female","F","Asian","A",4297,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Female","F","Black or African American","2054-5",11243,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",149,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Female","F","White","2106-3",39124,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Female","F","More than one race","M",411,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Male","M","American Indian or Alaska Native","1002-5",161,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Male","M","Asian","A",4192,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Male","M","Black or African American","2054-5",10532,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",111,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Male","M","White","2106-3",41937,Not Available,Not Available
,"Large Central Metro","1","2025 (provisional and partial)","2025","Neoplasms","C00-D48","Male","M","More than one race","M",387,Not Available,Not Available
